remote,exam_total,pid,anid,l01q1,l01q2,l01q3,l01q4,l01q5,l01q6,l01q7,l01q8,l01q9,l01q10,l01q11,l01q12,l02q1,l02q2,l02q3,l02q4,l02q5,l02q6,l02q7,l02q8,l02q9,l02q10,l02q11,l02q12,l02q13,l03q1,l03q2,l03q3,l03q4,l03q5,l03q6,l03q7,l03q8,l03q9,l03q10,l03q11,l03q12,l03q13,l03q14,l03q15,l03q16,l03q17,l04q1,l04q2,l04q3,l04q4,l04q5,l04q6,l04q7,l04q8,l04q9,l04q10,l04q11,l04q12,l05q1,l05q2,l05q3,l05q4,l05q5,l05q6,l05q7,l05q8,l05q9,l05q10,l05q11,l05q12,l05q13,l05q14,l05q15,l05q16,l06q1,l06q2,l06q3,l06q4,l06q5,l06q6,l06q7,l06q8,l06q9,l06q10,l06q11,l06q12,l07q1,l07q2,l07q3,l07q4,l07q5,l07q6,l07q7,l07q8,l07q9,l07q10,l07q11,l07q12,l07q13,l07q14,l08q1,l08q2,l08q3,l08q4,l08q5,l08q6,l09q1,l09q2,l09q3,l09q4,l09q5,l09q6,l09q7,l09q8,l09q9,l09q10,l10q1,l10q2,l10q3,l10q4,l11q1,l11q2,l11q3,l11q4,l11q5,l11q6,l11q7,l11q8,l11q9,l11q10,l11q11,l12q1,l12q2,l12q3,l12q4,l12q5,l12q6,l12q7,l12q8,l13q1,l13q2,l13q3,l13q4,l13q5,l13q6,l13q7,l13q8,l14q1,l14q2,l14q3,l14q4,l14q5,l14q6,l14q7,l14q8,l14q9,l14q10,l14q11,l14q12,l15q1,l15q2,l15q3,l15q4,l15q5,l15q6,l15q7,l15q8,l15q9,l16q1,l16q2,l16q3,l16q4,l16q5,l16q6,l16q7,l16q8
#84C11752,81.5,A98101787,125,2,2,3,1,4,3,5,3,3,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,4,2,2,3,NA,1,2,4,4,3,3,1,3,4,3,NA,3,5,2,1,1,2,2,NA,3,2,1,2,5,4,4,2,3,4,3,2,2,NA,1,2,2,2,2,3,3,4,5,2,2,1,1,4,4,3,2,1,1,3,2,1,1,NA,4,4,2,1,1,2,2,3,3,2,5,1,1,1,2,2,NA,3,3,2,2,1,1,2,2,5,5,2,2,2,3,3,3,5,3,3,1,4,5,5,1,3,1,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,1,1,1,2,3,NA,1,1,2,5,5,5,5,5,3,4,3,2,3,3,1,1
#84C40444,60,A11042845,303,2,2,4,4,3,3,2,3,3,1,3,1,3,4,1,1,1,5,4,2,3,4,4,3,3,2,4,3,4,4,3,4,3,3,4,1,4,4,3,3,1,1,2,2,2,2,4,4,4,3,2,2,3,4,NA,2,2,4,1,4,2,3,3,3,2,1,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,3,1,1,2,2,NA,NA,NA,NA,NA,1,NA,NA,2,2,3,3,2,3,3,2,2,2,2,2,3,3,NA,NA,2,1,NA,NA,NA,1,1,2,2,3,3,1,1,1,3,2,5,3,2,2,1,2,3,2,3,3,3,3,3,NA,NA,NA,2,2,3,2,NA,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,2,1,1
#84EBCAA5,76.5,A10714252,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,2,3,3,3,1,1,2,3,2,5,5,1,3,4,4,4,3,1,2,4,4,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,1,1,1,NA,1,3,2,2,NA,2,3,3,3,3,2,2,2,2,NA,2,2,2,3,4,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3,3,2,2,1,1,NA,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,1,3,3,3,3,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#84EBF09F,57,A10623138,310,2,2,1,3,3,3,2,2,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,2,2,1,2,2,4,3,NA,2,3,3,4,1,3,3,2,5,2,3,NA,NA,NA,NA,NA,NA,2,2,2,2,3,3,1,NA,1,2,3,3,2,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,3,1,4,4,4,4,1,1,2,4,4,3,1,4,5,3,3,2,4,3,4,3,2,1,1,3,2,2,3,2,5,2,1,3,1,4,1,1,3,2,2,2,3,3,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA
#84F7097A,52.5,A98048483,293,2,2,1,1,4,4,NA,3,3,NA,NA,5,1,2,1,1,4,NA,5,1,3,2,2,3,3,NA,NA,NA,2,4,4,4,2,3,2,2,4,4,4,2,3,2,2,2,3,3,3,4,1,5,2,2,3,4,2,2,2,4,2,4,4,3,4,4,NA,2,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,2,4,2,2,4,4,3,3,1,1,4,4,3,2,5,NA,2,3,3,2,NA,2,2,3,2,4,NA,NA,NA,NA,1,1,1,2,NA,2,NA,2,4,4,3,3,1,4,5,3,1,3,1,4,2,2,2,3,3,1,5,2,2,NA,3,3,1,2,3,4,2,2,2,3,1,1,5,5,NA,1,4,4,3,3,2,2,2,3,3,3
#84F92D50,38.5,A10913400,337,3,2,2,4,1,3,4,2,5,2,5,2,3,4,1,NA,2,4,4,3,5,2,5,2,2,2,2,2,1,3,2,2,5,3,2,2,1,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,4,4,2,2,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,1,2,2,2,3,3,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,1,2,1,3,1,NA,4,3,3,2,2,3,4,3,3,2,2,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1
#85017CF8,82.5,A10776482,112,2,NA,1,1,3,3,2,1,3,1,3,1,4,4,1,1,1,4,4,3,5,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,4,NA,4,4,2,2,4,4,2,2,2,4,4,4,5,3,2,5,2,1,NA,5,4,4,3,3,3,3,2,1,2,2,1,1,4,4,1,2,1,4,1,4,1,2,1,4,1,4,4,1,5,5,2,2,5,5,1,3,3,2,2,2,3,3,2,2,1,1,2,1,2,2,1,1,1,1,1,4,2,4,4,1,3,5,3,1,3,1,1,3,3,2,2,3,5,3,3,3,3,2,1,3,2,2,4,4,1,1,2,3,2,2,3,2,4,3,5,4,2,2,1,1,2,3,2,3
#851429B8,46,A98020620,305,2,2,2,3,4,4,2,3,3,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,2,3,3,2,2,2,3,3,NA,3,3,3,2,3,3,3,3,3,3,NA,NA,3,4,3,3,3,3,3,3,4,3,NA,1,4,4,1,1,2,2,2,2,3,3,2,2,2,4,2,2,1,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,3,3,2,2,2,3,2,3,3,3,2,2,NA,1,4,1,NA,NA,2,2,3,2,2,1,2,2,3,1,1,3,3,2,2,2,2,3,2,2,2,2,2,2,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,3,3,2
#853EF249,76,A10226031,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,1,4,4,3,5,3,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,4,4,5,5,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,2,3,5,3,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,1,1,2,2,1,4,2,3,2,2,2,3,4,5,2,2,2,1,1,1,NA,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#8549CD01,62,A10749942,235,2,2,4,3,4,4,4,3,3,3,3,2,4,4,1,1,1,4,4,1,5,NA,2,2,1,3,1,1,4,1,2,1,1,3,1,2,1,4,1,5,1,NA,2,1,2,1,3,3,1,1,1,1,1,2,1,2,2,2,1,4,1,1,1,3,2,1,1,2,1,4,1,1,1,1,1,NA,2,2,4,1,5,4,1,1,1,4,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,NA,4,1,1,1,1,NA,1,1,1,1,1,2,1,2,2,3,3,3,1,1,1,1,4,4,1,1,1,1,1,4,1,3,3,1,2,2,1,1,1,1,1,3,3,5,4,2,2,2,2,1,2,2,2,3,3,1,2,1,1,1,2,1,3,2,1,1,NA,1,1
#855D66BE,89.5,A10648059,67,2,1,1,1,2,1,2,1,3,2,5,1,4,4,1,1,1,2,1,5,5,5,5,5,5,2,2,1,5,5,4,4,1,4,2,2,4,4,2,3,1,1,2,2,3,2,5,5,3,3,2,2,4,4,3,1,3,5,4,3,3,3,3,3,2,1,NA,5,5,4,3,3,2,5,3,1,2,4,1,1,5,5,3,3,2,4,1,1,3,2,4,4,3,2,1,1,1,5,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,1,NA,NA,4,4,4,1,1,4,3,1,4,2,5,1,5,1,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,2,3,4,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,2,3,3,3,3
#855EE932,100.5,A11453074,5,2,2,1,1,3,3,2,5,5,2,5,1,4,4,1,1,3,5,1,3,5,5,4,2,3,2,2,1,4,4,4,4,3,3,2,1,4,4,4,5,1,1,2,2,1,2,4,4,3,3,2,2,4,4,2,2,3,3,2,4,2,1,4,4,2,2,2,2,4,2,3,3,3,3,3,1,2,2,1,1,4,4,4,1,1,3,4,4,1,2,2,4,4,4,1,4,4,4,1,1,4,3,2,2,2,2,2,2,3,3,5,3,2,5,2,2,2,2,2,2,2,3,1,4,4,3,3,1,3,3,5,1,2,2,1,3,3,3,3,1,3,1,1,2,2,2,3,3,4,4,4,4,3,3,3,1,1,1,2,5,3,3,5,5,1,2,1,3,3,3,1,1
#8560C025,59,A10632489,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,2,5,4,1,3,1,1,3,3,5,2,2,5,5,2,2,2,2,4,2,1,4,4,3,1,1,1,1,3,4,4,4,5,3,3,2,1,1,1,1,4,2,1,4,2,3,3,3,3,2,2,1,2,3,3,3,4,4,3,3,NA,NA,NA,NA,NA,NA,4,2,4,4,3,1,2,1,1,NA,1,2,2,5,5,5,1,2,1,3,NA,4,3,2,2,2,3,2,3,3,2,2,2,1,NA,2,4,2,2,4,1,3,3,1,1,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#8561997D,105.5,A10631470,15,2,2,1,1,3,3,2,3,3,2,3,1,4,4,1,1,5,5,4,3,5,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,4,4,5,4,4,2,2,4,4,1,2,3,4,4,4,2,3,4,4,2,1,NA,1,1,2,3,4,5,5,1,5,2,2,1,1,4,4,1,3,1,4,2,2,2,2,2,NA,4,4,1,1,2,2,2,2,5,5,2,2,3,3,2,NA,5,3,2,2,1,1,2,1,3,2,3,3,3,1,1,3,3,4,4,1,5,5,5,4,4,5,1,3,3,2,2,1,1,1,5,3,3,2,2,2,4,4,4,4,2,NA,2,3,1,NA,3,3,5,2,5,5,3,5,2,2,3,3,4,4
#8568F31E,70.5,A10569013,216,2,2,4,4,2,3,4,3,3,3,NA,5,1,1,1,1,1,1,4,3,5,4,4,3,3,NA,NA,1,4,3,4,4,3,1,2,2,1,4,5,5,1,2,2,2,4,4,4,4,5,5,2,2,3,4,2,2,4,4,1,4,5,3,4,3,2,1,NA,1,4,3,4,3,4,4,5,2,3,2,4,1,4,4,2,4,1,4,1,4,2,2,1,4,1,4,5,1,2,4,2,1,3,4,2,1,3,5,2,2,1,3,3,3,1,1,2,1,1,2,4,NA,4,3,3,4,4,2,2,3,3,3,5,1,3,1,3,4,3,2,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,3,4,2,5,5,3,3,1,NA,3,2,3,3
#85722FD8,96.5,A98120986,42,2,2,2,1,4,2,2,3,3,2,3,4,2,5,2,1,4,4,4,3,3,4,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,4,4,4,4,2,2,1,4,2,2,2,4,4,4,2,3,4,3,2,1,NA,1,2,4,1,3,1,5,4,1,2,2,1,1,4,4,1,1,NA,5,3,2,1,1,2,4,1,4,1,1,5,5,2,2,2,4,2,1,1,1,2,2,3,3,3,3,2,2,2,1,2,2,2,2,2,2,1,3,3,3,NA,3,3,1,5,3,3,2,2,4,3,3,3,1,4,1,1,1,3,1,4,3,4,4,4,NA,3,3,5,1,1,1,4,3,1,2,5,5,4,2,3,1,2,3,3,3
#858D727A,100.5,A10902176,41,2,2,1,4,1,2,2,3,NA,2,3,1,4,4,1,1,1,4,4,3,3,4,4,3,3,5,2,1,4,4,4,4,2,1,4,4,4,4,2,3,1,1,2,2,4,4,4,3,3,3,2,2,4,4,1,2,4,4,4,4,2,3,3,3,2,NA,1,5,4,1,3,3,2,3,5,5,2,2,1,1,4,4,1,1,1,4,2,2,2,2,1,4,4,4,1,2,5,1,2,2,4,4,2,2,2,3,2,2,3,3,2,1,3,3,2,1,5,5,1,2,2,2,3,3,2,4,4,1,3,1,1,4,3,5,2,4,4,2,2,3,3,1,1,3,3,2,1,1,4,4,4,4,3,3,5,1,1,1,4,5,2,2,5,5,3,3,3,2,3,3,3,3
#8590FEEB,83.5,A10562373,149,1,2,4,1,2,3,3,3,3,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,5,4,4,4,3,3,4,4,4,4,NA,NA,NA,NA,2,2,2,2,4,4,1,5,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,5,5,3,2,3,3,3,NA,2,2,1,3,1,1,4,4,NA,NA,NA,2,1,1,1,5,4,2,3,2,3,2,4,1,4,2,5,5,NA,1,3,3,5,3,3,4,4,4,2,2,2,NA,NA,3,3,4,4,3,3,2,5,4,4,1,3,5,5,1,4,2,3,1,3,2,3,1,4,1,1,2,2,2,2,3,4,4,4,4,2,2,3,3,1,1,2,4,2,2,2,2,NA,NA,3,5,2,3,3,3
#85A77D5F,73,A10571149,210,2,2,3,3,3,3,1,3,2,2,4,3,1,4,1,1,1,5,4,3,3,5,5,3,3,NA,3,2,2,4,4,4,3,3,1,1,4,4,4,2,1,1,3,2,4,4,4,4,3,3,2,2,3,3,2,2,3,4,1,3,3,4,2,3,3,1,NA,1,3,3,4,4,3,1,2,2,2,2,1,1,4,4,2,NA,1,1,2,2,1,2,2,2,3,2,2,3,2,4,2,2,5,5,2,2,1,3,3,1,4,3,2,4,1,1,2,1,1,2,2,4,4,2,1,4,2,3,3,3,1,3,4,1,1,3,2,2,2,3,2,2,2,3,NA,3,3,2,2,3,3,3,4,4,3,3,2,1,2,1,1,1,2,2,3,3,2,4,2,3,2,2,3,2
#85A7C1E3,96,A98054871,25,2,2,1,1,3,NA,2,3,3,2,3,1,3,4,1,1,NA,5,4,5,5,5,NA,2,3,2,2,5,4,4,5,4,3,3,4,4,4,4,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,4,4,5,3,2,4,2,2,5,5,1,1,4,1,3,3,1,1,4,4,4,1,4,4,1,1,1,1,2,2,1,3,3,3,2,2,2,3,2,2,2,2,2,2,NA,2,2,2,2,2,4,3,4,4,1,1,2,1,NA,NA,4,2,2,3,3,1,NA,3,3,1,3,5,5,1,1,2,2,1,2,3,2,2,2,2,2,NA,NA,1,1,1,3,3,2,3,2,2,3,1,5,NA,2,2,2,4,5,5,4,2,3,3,3,3,2,2
#85B5E7D7,78,A98100757,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,4,3,5,2,2,4,2,2,2,2,4,4,4,2,3,4,4,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#85BCF8C1,75.5,A98097699,180,2,2,1,1,4,3,2,3,3,2,3,2,1,4,1,1,1,2,4,3,3,5,5,1,4,2,2,3,2,2,4,4,3,NA,4,4,1,4,3,3,1,1,2,2,2,2,4,4,3,3,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,3,3,3,1,1,4,4,5,1,1,4,2,2,2,2,2,2,2,2,4,1,4,2,2,2,5,3,2,3,3,4,3,3,3,3,2,2,1,1,2,NA,2,2,4,2,2,1,1,3,3,4,4,1,3,1,5,1,1,2,2,4,4,3,3,3,3,1,1,4,2,2,4,4,1,1,4,4,2,2,1,NA,1,2,1,1,4,4,1,5,3,3,1,3,4,3,1,1
#85BDECD4,91,A11354743,71,5,5,1,1,3,2,2,2,5,2,3,5,3,3,1,1,2,5,4,3,5,4,4,4,3,NA,NA,NA,NA,NA,4,4,3,3,1,4,4,4,3,3,2,2,2,2,2,2,4,4,3,5,2,2,1,4,2,2,2,5,4,4,2,3,2,3,2,2,NA,3,3,1,NA,NA,2,4,4,4,1,1,1,1,4,4,1,1,2,4,4,2,2,5,4,4,4,4,1,1,4,4,2,2,5,5,NA,3,3,2,2,NA,3,3,2,5,1,1,2,1,2,2,2,2,2,2,2,1,1,3,4,NA,1,5,5,2,NA,1,1,3,4,3,3,2,3,4,1,NA,NA,NA,NA,NA,4,4,4,4,3,NA,3,NA,2,1,1,4,4,2,5,5,NA,NA,1,2,3,3,2,2
#85C67E3D,55.5,A10473398,228,2,2,2,1,2,4,3,2,3,1,3,3,4,3,1,1,4,3,2,2,3,1,2,3,3,3,3,1,3,NA,3,1,3,3,4,4,4,4,3,2,1,1,4,5,4,4,4,4,4,4,4,2,4,1,3,3,4,4,1,4,2,3,4,4,3,1,NA,1,3,3,2,4,2,4,2,2,2,3,3,1,4,4,3,1,3,3,2,1,2,2,1,2,2,2,4,2,2,1,2,1,3,3,1,1,1,5,5,5,2,3,5,2,2,2,2,1,1,2,3,3,2,3,3,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,5,5,4,2,3,2,2,4,3,2,2,4,4,1,1,2,NA,1,1,1,5,4,2,5,5,4,4,2,2,4,3,3,3
#85C80D40,56,A98059018,306,2,2,NA,1,NA,3,2,3,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,5,5,1,3,NA,5,1,2,4,4,4,3,NA,4,2,NA,NA,4,4,4,2,3,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,4,4,3,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,5,NA,1,3,3,1,3,3,1,2,2,NA,3,2,2,NA,NA,3,5,2,2,3,3,3,3
#85CD8CC4,94,A10536073,60,2,2,3,3,3,3,2,3,3,1,3,1,4,4,1,1,1,5,4,5,5,4,5,3,3,5,5,5,4,4,4,4,3,3,4,1,4,4,2,3,1,1,2,NA,5,2,4,5,3,5,3,2,4,4,3,2,2,4,4,4,1,3,4,4,2,2,5,2,4,4,3,3,2,3,1,5,2,2,1,1,4,4,5,1,4,4,2,2,2,2,4,4,3,4,5,1,5,5,2,2,4,4,NA,3,3,2,2,2,2,3,2,2,4,NA,4,1,2,2,4,5,5,1,1,3,4,3,4,3,3,NA,5,1,3,5,1,2,2,4,2,1,1,1,1,4,3,1,4,2,3,3,4,4,2,2,2,1,1,1,1,1,5,2,2,1,3,5,2,2,3,3,2,1
#85DAEFB0,63.5,A10730199,243,1,2,2,NA,1,4,2,3,NA,2,3,1,NA,NA,2,1,1,1,4,3,3,4,4,3,3,NA,NA,NA,NA,NA,2,2,5,5,1,1,4,4,NA,NA,NA,NA,2,2,5,3,5,4,3,5,1,2,1,3,NA,2,3,3,1,4,2,3,4,4,2,1,NA,1,3,3,1,1,3,3,1,2,3,3,1,1,4,4,1,1,1,1,1,3,2,4,1,1,1,1,2,2,1,4,3,2,4,4,2,5,3,2,2,3,3,3,1,3,1,1,2,1,NA,NA,NA,NA,1,3,1,3,3,5,4,1,1,1,1,1,3,2,5,4,3,3,3,3,1,5,2,2,2,2,4,4,3,3,3,4,4,4,3,1,1,NA,5,1,2,3,1,4,NA,NA,3,3,5,5,2,2
#85DB712F,87.5,A10680065,113,2,2,2,4,4,3,3,3,3,1,3,2,3,4,1,NA,2,1,1,3,3,5,2,3,3,NA,NA,NA,2,4,NA,4,3,3,1,2,4,4,3,3,2,1,NA,NA,2,2,4,4,2,5,2,2,1,1,2,2,4,4,1,4,1,3,4,3,2,1,NA,2,1,3,NA,NA,1,2,2,1,2,2,1,1,4,4,3,1,2,4,2,2,2,2,4,4,1,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,3,5,3,5,2,3,1,3,NA,NA,NA,NA,2,5,2,2,2,3,3,2,2,4,4,NA,NA,1,5,3,3,2,3,2,3,1,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,5,4,2,5,5,1,2,1,4,2,4,2,1
#85EAE689,91.5,A98071125,91,2,2,4,1,5,3,1,3,4,2,3,5,2,4,2,3,2,5,4,4,5,1,2,2,1,NA,NA,NA,NA,NA,NA,3,1,3,4,1,2,2,2,2,2,1,1,2,1,4,2,4,2,3,2,2,2,2,3,2,3,3,2,2,4,1,4,4,2,1,NA,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,2,1,NA,1,1,1,1,1,1,1,1,2,2,3,4,5,2,2,3,2,2,3,3,1,1,2,2,NA,1,NA,3,2,3,3,4,3,4,3,4,4,1,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,3,3,3,5,NA,NA,2,4,5,4,NA,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2
#85F30E78,68.5,A98093829,204,2,2,1,1,3,3,2,3,3,2,3,1,1,1,1,1,4,5,4,3,3,5,5,3,3,1,4,4,4,4,4,4,3,3,5,5,4,NA,3,3,1,2,4,4,2,2,4,4,3,3,2,2,4,4,3,1,3,4,4,4,2,2,4,4,2,1,1,1,3,4,4,2,3,3,5,5,2,2,1,1,4,4,NA,1,2,2,1,1,3,3,4,4,3,3,3,3,2,2,3,3,4,5,2,2,2,2,2,2,4,3,3,2,1,NA,2,1,1,2,2,2,2,2,3,1,1,4,3,1,1,4,5,1,3,1,3,NA,NA,2,2,1,1,1,2,3,3,2,4,3,3,3,1,1,1,1,4,2,1,1,2,2,4,5,4,4,2,2,2,2,4,4,NA,NA
#86017AFD,89.5,A09908985,66,2,2,1,3,4,3,2,3,3,2,3,1,1,4,1,1,2,5,4,2,3,5,1,1,3,3,2,1,2,4,4,4,5,3,2,2,4,4,4,2,1,2,2,4,2,2,4,4,3,5,2,2,4,4,1,2,2,4,4,2,4,3,4,4,1,1,1,1,3,4,4,3,2,2,1,1,2,4,1,5,4,4,1,2,1,4,2,2,2,5,2,2,3,2,1,1,5,2,4,2,3,2,2,4,2,2,2,2,3,3,2,2,3,1,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,1,1,3,3,3,3,3,4,2,3,1,3,4,1,2,3,3,3,3,3,3,4,4,4,2,3,2,2,2,1,3,4,4,4,4,2,2,2,2,4,4,3,2
#8608EF61,69,A10593158,308,1,5,1,1,2,3,2,2,1,2,3,1,1,4,1,1,5,5,4,3,3,1,1,3,2,3,3,1,4,4,2,2,3,2,2,2,4,4,4,4,4,1,1,1,5,2,4,4,3,3,2,2,4,4,2,1,3,3,2,2,3,5,4,4,2,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,1,2,3,3,4,4,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,4,3,3,3,3,1,3,3,2,2,4,4,5,5,3,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,4,2,2,4,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,3,3,3,3,3
#860A28A4,86.5,A98031249,99,2,2,4,4,2,3,2,3,3,1,3,2,4,4,1,1,2,5,4,5,5,5,4,1,5,5,5,1,5,5,4,4,NA,3,2,2,1,NA,1,5,1,1,2,2,2,2,4,4,3,4,2,2,2,5,2,1,5,5,3,4,2,3,5,3,2,3,NA,5,4,4,NA,3,2,2,5,5,5,3,1,1,4,4,5,1,4,4,4,4,1,5,2,4,2,4,3,1,NA,NA,NA,NA,NA,NA,NA,2,3,5,3,3,3,3,4,2,1,1,2,1,1,3,4,4,4,3,3,4,5,4,4,1,1,4,4,5,3,3,1,3,3,2,2,4,5,3,2,3,3,2,4,2,4,4,4,4,4,4,2,3,1,1,5,5,5,5,2,2,5,5,3,5,4,3,1,4
